;Design 1;Design 2;Design 3;Design 4;Design 5;Design 6;Design 7;Design 8;Design 9;Design 10;Design 11;Design 12;Design 13;Design 14;Design 15;Design 16;Design 17;Design 18;Design 19;Design 20;Design 21;Design 22;Design 23;Design 24;Design 25;Design 26;Design 27;Design 28;Design 29;Design 30;Design 31;Design 32;Design 33;Design 34;Design 35;Design 36;Design 37;Design 38;Design 39;Design 40;Design 41;Design 42;Design 43;Design 44;Design 45;Design 46;Design 47;Design 48;Design 49;Design 50;Design 51;Design 52;Design 53;Design 54;Design 55;Design 56;Design 57;Design 58;Design 59;Design 60;Design 61;Design 62;Design 63;Design 64;Design 65;Design 66;Design 67;Design 68;Design 69;Design 70;Design 71;Design 72;Design 73;Design 74;Design 75;Design 76;Design 77;Design 78;Design 79;Design 80;Design 81
Fuselage diameter [m];5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639;5.950784704670639
Nosecone length [m];11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681;11.008951703640681
Tailcone length [m];19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311;19.63758952541311
Tail arm [m];26.372020266727596;26.498275330507255;26.553151333103987;26.29829550368953;26.280244283264306;26.317672772094742;25.93533490490698;26.002446007692367;26.033238625332253;26.40624693495361;26.517484048085258;26.5699980834246;26.320261618169916;26.31326863749736;26.352187851919084;25.975244234959227;26.043587972176226;26.076350674839414;26.425360955733197;26.533665122943976;26.5867792000615;26.340197733984876;26.42679138070123;26.378734072412115;26.015505193852373;26.0829725884877;26.115897072954212;26.74348945108334;26.82993053166587;26.87750346976795;26.697253022029983;26.764096794800984;26.748769319946017;26.46263050670384;26.5304324037816;26.569826335018263;26.362074736612183;26.840027775259713;26.887551098288533;26.709911200701168;26.775987949996235;26.824361955948916;26.579390100679717;26.555726015287608;26.595901548918867;26.391675094090335;26.850207075404377;26.89764027468687;26.721928813672374;26.787939996730916;26.83625064716692;26.59844602089616;26.58601721547111;26.626560596440253;26.549429759129985;27.058635240611682;27.101831526737627;26.954947405888436;27.014512704237365;27.058826028153796;26.872011068621276;26.8716029397583;26.907158610453248;26.711797573404258;27.06552500242645;27.10857490307768;26.963250382731317;27.022579539504644;27.06681604117735;26.882334391310874;26.88630511701455;26.922049334405923;26.730322999184292;27.07255644315134;27.115523928776092;26.971765953580363;27.03087976730089;27.074982976210535;26.89350139446908;26.956271129497573;26.94236319277028
Horizontal tail surface area [m^2];50.18526537742302;45.93797017888537;42.81118755412781;52.69002334440773;49.78211552264739;46.93346806628731;60.861838818638255;56.54149005576622;53.626824796668316;49.69774769640264;45.41220739791287;42.288491447660675;52.191761069856184;49.13368416077974;46.27137163451671;60.10590762013113;55.77795091374581;52.84292254282243;49.38966375047819;45.0006121637247;41.78589937641889;51.88695691374306;47.44026913000553;45.920785306150655;59.34701711037593;55.08717319940422;52.192878584778754;38.51424555028215;35.12973015572925;32.64927256507598;40.203515871937284;36.68870719634093;35.13726511887998;45.55222317513755;42.05312222293619;39.61761577434518;38.13048848906617;34.90440055952963;32.36339790085925;39.94057611976954;36.44048675677945;33.925751236365;43.897442242026536;41.634788545142435;39.19788719681813;38.087707165213786;34.71721199190696;32.1914425801181;39.7573078180927;36.22906786839824;33.7239448924652;43.41005053980907;41.032208342863825;38.61256111466436;30.988607706379305;28.14673677215226;26.067049765820332;32.08852836257532;29.22079840251185;27.149734200857903;35.098567987703944;32.98361272449074;30.93717708081208;30.80018910120198;28.007321038568836;25.938719850749823;31.957766413527015;29.07079435170575;27.00891960670137;34.87091551390005;32.741198279673995;30.70870030926408;30.77883698418635;27.862976249979504;25.806168530292084;31.874945486721863;28.958904698667595;26.846586411239066;34.52811372292361;31.444877214657286;30.180034962416475
Vertical surface area [m^2];29.60966072659115;33.985129219464554;38.09696823459969;31.050151675793845;36.75489328105377;41.67514618952092;34.38575789137295;40.05154693056246;45.686822816852036;29.3298955793655;33.6049985041463;37.64159393014233;30.76420343465772;36.288173945421576;41.10116145436835;33.97153311931001;39.52584029694678;45.036691963514244;29.152909199777472;33.307351188728134;37.20358051024745;30.58954735050994;35.06948765387699;40.79759221865088;33.55540765064909;39.05005753871219;44.49749763538768;22.859499374978697;26.134048243672478;29.207917911370753;23.840926286782707;27.270281921184704;31.38943770947125;25.928710884963056;30.00200014276991;33.986876048886835;22.623892800916167;25.969704925686013;28.956759308322326;23.688440674520788;27.089529842148206;30.32829005856686;25.010362125085074;29.71043196890014;33.634641714181654;22.599946648978282;25.833212409780224;28.80579438720942;23.582242994087753;26.935607504627125;30.15138022063241;24.73900521640743;29.28998258334823;33.14294327282649;18.460431114656043;21.02258804245715;23.408089016484002;19.113973483260438;21.8107087671639;24.364368676496706;20.091866253876287;23.647597652245853;26.66620618764394;18.353856648388543;20.92025485683935;23.294715268536585;19.037619470877267;21.70073682643786;24.240114456430916;19.964171247260754;23.477199742961457;26.47292477043663;18.341774115696904;20.81428602539883;23.17759600509545;18.98933072655707;21.618753575502282;24.09682273581419;19.771720285478512;22.565033964685792;26.025093791376396
Take off thrust [N];321905.46368169563;327954.88244076725;332965.2475878954;331908.0276271878;344101.80417660874;351911.820578889;352979.1747576999;362647.3106150756;372305.0991552676;320094.2621085819;325605.2834154749;330389.4290333125;329996.1383207275;341393.2935509414;348899.43210415955;350409.76646267425;359754.54376733175;369075.420467574;318923.9869839169;323766.7130888203;327904.6937257637;328876.21742680046;334462.8444177254;347368.157121612;347813.40455391305;357138.16045779764;366412.8063153715;359203.87166567444;364711.64747178386;369536.1136797927;369204.87417106883;374808.17275655846;386837.0767483931;388944.8932208816;397917.84273403947;406766.21483461856;353412.3606665813;363241.646281803;367467.57009540015;367709.6587470767;373226.3792919415;378605.58855061664;380583.88519475213;395525.9872328883;404152.61214602034;353412.3606665813;362033.4114047444;366256.4724224148;366694.0273391467;371892.15137258417;377214.21537162183;377942.37691020727;391998.6015667212;400426.97544579394;394190.70997426374;403332.8815535861;407658.36046133883;407562.415130927;413079.0046121258;418425.67929230485;420994.0672365776;435092.83433128794;443419.4098287415;394190.70997426374;402068.2487511061;406386.78327512275;406537.988374136;411746.150087585;417059.7956304138;419279.18045951205;433116.46774846077;441396.4951398837;394190.70997426374;400755.0820190033;405070.42241726303;405920.80659111496;410773.1362055705;415470.6551330764;416642.3621707964;422339.3901707572;436535.7349452398
Cruise Mach number [-];0.6;0.6;0.6;0.7;0.7;0.7;0.8;0.8;0.8;0.6;0.6;0.6;0.7;0.7;0.7;0.8;0.8;0.8;0.6;0.6;0.6;0.7;0.7;0.7;0.8;0.8;0.8;0.6;0.6;0.6;0.7;0.7;0.7;0.8;0.8;0.8;0.6;0.6;0.6;0.7;0.7;0.7;0.8;0.8;0.8;0.6;0.6;0.6;0.7;0.7;0.7;0.8;0.8;0.8;0.6;0.6;0.6;0.7;0.7;0.7;0.8;0.8;0.8;0.6;0.6;0.6;0.7;0.7;0.7;0.8;0.8;0.8;0.6;0.6;0.6;0.7;0.7;0.7;0.8;0.8;0.8
Cruise velocity [m/s];189.83953539766154;189.83953539766154;189.83953539766154;221.47945796393847;221.47945796393847;221.47945796393847;253.1193805302154;253.1193805302154;253.1193805302154;184.82052158783665;184.82052158783665;184.82052158783665;215.6239418524761;215.6239418524761;215.6239418524761;246.42736211711554;246.42736211711554;246.42736211711554;179.66135143652903;179.66135143652903;179.66135143652903;209.60491000928388;209.60491000928388;209.60491000928388;239.54846858203874;239.54846858203874;239.54846858203874;189.83953539766154;189.83953539766154;189.83953539766154;221.47945796393847;221.47945796393847;221.47945796393847;253.1193805302154;253.1193805302154;253.1193805302154;184.82052158783665;184.82052158783665;184.82052158783665;215.6239418524761;215.6239418524761;215.6239418524761;246.42736211711554;246.42736211711554;246.42736211711554;179.66135143652903;179.66135143652903;179.66135143652903;209.60491000928388;209.60491000928388;209.60491000928388;239.54846858203874;239.54846858203874;239.54846858203874;189.83953539766154;189.83953539766154;189.83953539766154;221.47945796393847;221.47945796393847;221.47945796393847;253.1193805302154;253.1193805302154;253.1193805302154;184.82052158783665;184.82052158783665;184.82052158783665;215.6239418524761;215.6239418524761;215.6239418524761;246.42736211711554;246.42736211711554;246.42736211711554;179.66135143652903;179.66135143652903;179.66135143652903;209.60491000928388;209.60491000928388;209.60491000928388;239.54846858203874;239.54846858203874;239.54846858203874
Cruise altitude [m];6000.0;6000.0;6000.0;6000.0;6000.0;6000.0;6000.0;6000.0;6000.0;8000.0;8000.0;8000.0;8000.0;8000.0;8000.0;8000.0;8000.0;8000.0;10000.0;10000.0;10000.0;10000.0;10000.0;10000.0;10000.0;10000.0;10000.0;6000.0;6000.0;6000.0;6000.0;6000.0;6000.0;6000.0;6000.0;6000.0;8000.0;8000.0;8000.0;8000.0;8000.0;8000.0;8000.0;8000.0;8000.0;10000.0;10000.0;10000.0;10000.0;10000.0;10000.0;10000.0;10000.0;10000.0;6000.0;6000.0;6000.0;6000.0;6000.0;6000.0;6000.0;6000.0;6000.0;8000.0;8000.0;8000.0;8000.0;8000.0;8000.0;8000.0;8000.0;8000.0;10000.0;10000.0;10000.0;10000.0;10000.0;10000.0;10000.0;10000.0;10000.0
Specific fuel consumption [kg/km/pas];0.009920214902456603;0.009628770828013923;0.009419873477866603;0.012229372326970854;0.012173463620452477;0.012114384864058388;0.01539586333255586;0.015439351451206472;0.015524869500779413;0.008730977678085453;0.008229136003623013;0.007876095566567648;0.009962849657510077;0.009734680612727118;0.009530971678559626;0.011937657510188745;0.011788622339213321;0.011734428688930664;0.008573929435497434;0.00772948075911749;0.0072179507721892985;0.008801448125713257;0.008246294782067991;0.007992017698631157;0.00970620574805037;0.009414745180957593;0.009241693595550151;0.009643339673790866;0.009228641279631534;0.008945088416457404;0.011511783039281251;0.011265589422476496;0.011234281669923199;0.014192734445515316;0.014129369736629168;0.014127088341500121;0.00869098605141312;0.008168588053766598;0.0077262874305521236;0.009655312863610153;0.00922936298071039;0.008949920167524621;0.01108773070150665;0.010974673155701943;0.010860141773257717;0.00866227237718842;0.007837371080189618;0.007233886077742358;0.00887856590938518;0.008197106860870246;0.00775802460844106;0.009301006780117978;0.008974525267017634;0.008729231218635464;0.009491027690940478;0.009021059914863126;0.008718585391162452;0.011149198095236377;0.010806460851232663;0.010596948743867062;0.013323511961872238;0.01328648215879976;0.01322131073058014;0.008926257372124753;0.008201620623284125;0.0077352112917675984;0.009603659581748653;0.009040951329013341;0.008712082967060929;0.010698561853787751;0.010472096934975826;0.010318552545884874;0.007787679328529504;0.0070164047095845755;0.006483323647933859;0.009086479243748039;0.008287115582137254;0.007757396576618189;0.009204655335287871;0.008700706829185572;0.008451781405703873
Take off weight [N];1399374.2534326373;1428054.6109498928;1454802.3745120722;1447506.430663506;1490082.3038013792;1525903.1442883422;1529932.241085763;1574805.2748267748;1620238.8306764245;1389170.0210854271;1415876.714605533;1441191.0394933473;1437626.3820230255;1477915.4692011613;1512239.3761218442;1518330.1493025385;1561598.7603007373;1605289.646059401;1383258.3951536745;1406428.6710593658;1428149.3334429434;1431929.280899358;1462051.0701451919;1505366.727159137;1506649.903796042;1549697.8453804955;1593047.3955653445;1377686.3993199605;1400110.7921389872;1422220.7962087365;1419505.8880950022;1445646.2420699648;1481326.3048507257;1489057.726315036;1525272.6925425264;1561342.6182410314;1364913.710793137;1393560.6276772744;1412846.3995270985;1412875.2704852545;1438516.790575392;1463799.8892152882;1471461.036766514;1515772.228574048;1550890.667799772;1361363.8084681197;1388204.8105576446;1407419.2177947867;1408415.3464247421;1432551.2584997455;1457499.7744844393;1459354.7974235693;1501721.6591522517;1535917.1236995445;1360859.3285724341;1386034.3585563973;1403506.5003208888;1402180.3911374924;1424773.647619451;1446909.7979434666;1456113.183544465;1493597.1198217764;1523647.7346257765;1358007.059165472;1381043.3027336397;1398449.7594507243;1398201.1542068247;1419514.2612475331;1441451.4969009354;1449276.020968438;1486662.2686815737;1516515.3376675677;1354511.988611204;1375872.0002448007;1393215.8143178208;1395846.9918890132;1415720.4793042887;1435076.662241853;1438605.9138382755;1462676.9590778167;1499120.4682829976
Payload weight [N];472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004;472485.24525000004
Fuel weight [N];125123.14643695836;127474.52718269885;129422.03265476083;129011.09620638013;133750.76005477447;136786.47686057506;137201.35243207985;140959.31156958302;144713.24875334738;124419.1408662929;126561.2490433738;128420.82404365503;128267.95378522498;132697.97465695796;135615.57556571142;136202.63545884844;139834.90664101017;143457.88777014829;123964.26040505359;125846.60536635894;127455.01906418153;127832.64577769392;130004.14153014055;135020.37615006557;135193.44174216615;138817.930699596;142422.94211666108;123510.76339969938;125404.58929665442;127063.46201866625;126949.56668563181;128876.23769460806;133012.32650680214;133737.09046999743;136822.40199288822;139864.87808848082;121519.37633190765;124899.13547642952;126352.20187536896;126435.44305548299;128332.3445638087;130181.96338596902;130862.19249267437;135999.97238621654;138966.20162991324;121519.37633190765;124483.6889186303;125935.77095704844;126086.2224027532;127873.57582029584;129703.54548163347;129953.9208105294;134787.09543582844;137685.1568826473;121519.37633190765;124337.68473068012;125671.12432199177;125641.54671800825;127342.17663208766;128990.42595949414;129782.1972855784;134128.50312447012;136695.38315443625;121519.37633190765;123947.829298886;125279.12810615769;125325.74094828045;126931.29010821719;128569.35735859846;129253.53954110124;133519.23753684617;136071.76792165032;121519.37633190765;123543.01204097712;124873.32617722514;125135.47886584573;126631.33367313932;128079.46412353762;128440.67280975128;130196.92751587021;134573.31417221855
Empty weight [N];801765.8617456789;828094.8385171939;852895.0966073114;846010.089207126;883846.2984966044;916631.4221777669;920245.6434036832;961360.7180071915;1003040.3366730771;792265.6349691342;816830.220312159;840284.9701996923;836873.1829878006;872732.2492942035;904138.5553061328;909642.2685936901;949278.6084097272;989346.513039253;786808.8894986208;808096.8204430069;828209.0691287619;831611.3898716639;859561.6833650512;897861.1057590714;898971.216803876;938394.6694308994;978139.2081986833;781690.3906702609;802220.9575923327;822672.0889400702;820071.0761593701;844284.7591253568;875828.7330939234;882835.3905950384;915965.0452996383;948992.4949025506;770909.0892112295;796176.2469508449;814008.9524017293;813954.5821797713;837699.2007615832;861132.6805793191;868113.5990238395;907287.0109378314;939439.2209198587;767359.1868862121;791235.8763890141;808998.2015877382;809843.8787719888;832192.4374294498;855310.9837528059;856915.6313630397;894449.3184664233;925746.7215668969;766854.7069905264;789211.4285757169;805350.1307488969;804053.599169484;824946.2257373631;845434.1267339725;853845.7410088866;886983.3714473061;914467.1062213404;764002.4375835642;784610.2281847536;800685.3860945664;800390.168008544;820097.7258893161;840396.8942923369;847537.2361773364;880657.7858947276;907958.3244959174;760507.3670292965;779843.7429538235;795857.2428905955;798226.2677731675;816603.9003811493;834511.9528683156;837679.9957785242;859994.7863119463;892061.9088607791
Wing weight [N];106469.6818685731;128155.13775662973;148955.1722302306;120699.1052059418;149327.86393381463;175823.50095448282;156074.54500397807;189876.9752055518;223669.92424591674;102019.23088229154;122413.87001245996;142064.4486685485;117168.83191416011;144458.6622875908;169842.2519609511;152124.92279947153;184725.6490434475;217222.89769453093;101268.73909143728;118924.8372080049;135750.57707893796;117001.51971821455;140820.6927447506;169023.05894859842;148258.02030716743;180671.73181815955;212921.04123641716;91439.60431907352;108311.0648930902;125406.63361571611;101956.73781406094;122534.3637736118;145893.0714164928;130725.12085234371;157963.46376640376;184804.81167989402;89484.17209207038;106790.94077738609;121682.8569908236;100747.85200703841;120917.07750759815;140577.00553542742;125881.9854757136;155215.04253336508;181355.92613094792;89484.17209207038;106318.03185522668;121148.25688949173;101344.18851344849;120337.78952247997;139733.1653424099;120928.97928230332;149228.8355938655;174670.69246630563;82273.06164816694;97568.3868779053;111014.83019222158;89424.55460287802;107092.56839517232;124237.25017941608;111318.60789775415;136213.75691163153;158572.6392259888;82273.06164816694;97161.46838408515;110553.63308922408;90141.60952510212;106813.21311600767;123796.84792851008;110166.05504513416;135201.5156027776;157417.8010007983;82273.06164816694;96739.39033984272;110076.70840963126;92240.5864475944;107799.78975156139;122775.21820795997;106175.43617576949;125227.3023233862;148743.09830092994
Empennage weight [N];23860.514109589545;23894.136768119966;24296.810049108906;29702.040610149394;30887.298640342422;31841.662665351298;39859.92787541343;40495.92410007338;41933.71595104588;22931.09636827185;22915.29113224873;23280.186087429043;28559.832288114147;29572.343255130367;30446.76545755198;38197.26544938971;38756.65513172229;40079.54940590676;22095.45254234942;22004.009730387625;22278.435699527105;27537.208691571428;27535.733059261103;29296.23935510355;36536.287692703976;37082.89922473739;38353.32362043791;17369.563868059653;17324.028521157074;17561.703178186148;21482.83399482412;21438.256996907992;22525.849102519875;28187.782766698445;28432.84127497336;29214.926898655278;16682.09985404707;16714.219675102748;16895.77391433874;20727.927577483955;20679.391599643008;21005.339138077597;26229.391531579688;27326.396191740852;28056.527209705473;16171.593127471542;16119.95750509123;16296.173311635193;20014.286996972365;19938.30754282389;20249.18153499242;25132.46026520709;26077.510275005454;26759.834082494253;13373.760917216863;13276.882602049256;13403.83260558276;16391.988594812396;16319.218327141743;16538.79964440304;20627.132704923526;21259.22892807575;21733.496661073877;12908.354634350013;12831.227861065658;12954.48325697155;15862.093191666352;15771.560749921582;15982.87236626894;19905.83678995619;20494.745147156034;20951.279103787005;12518.84974059788;12377.184121489634;12496.83662290922;15351.885481740721;15241.1704203394;15405.273397047911;19101.454755512787;18960.765450776427;19925.73707468895
Fuselage weight [N];221949.74880891823;222480.40251969898;222710.65374601848;239397.79875569654;239315.62300693674;239485.97977878037;254154.764715231;254483.38176988674;254634.01934628637;219138.18592921755;219599.26397818123;219816.59869494967;236310.6080851482;236279.2135398156;236453.88593991578;250965.43452863963;251295.3765346623;251453.39101472712;216136.15512391934;216578.6185307339;216795.27956106333;233077.24047089563;233460.04791365162;233247.67694048255;247629.5438109606;247950.43134163544;248106.8756557472;223507.4449008352;223868.36710627176;224066.75299379716;241206.85216553137;241508.62659225502;241439.46215222648;256725.3958463103;257054.07317710036;257244.8468151033;218954.82274797233;220930.76812540842;221126.27315391903;238053.37274247984;238347.6469647889;238562.8514926454;253867.20171483007;253754.1653948607;253946.04220666527;215998.35086842737;217866.66078106992;218059.0159593949;234760.08253528;235049.86760773606;235261.72221243326;250388.54575271005;250330.0386853735;250520.84123446344;222695.04612178967;224820.49597119063;224999.87563431813;242368.17720860222;242635.82317654524;242834.74577583466;258703.56330669916;258701.5987199815;258872.69510293912;220402.3797894871;221856.90489758353;222033.27544378457;239179.65723250274;239442.6546411854;239638.56069911068;255309.8555213988;255328.71043106756;255498.37847533094;217379.73784786862;218766.88918301815;218940.42537006372;235854.97605259047;236113.2953669872;236305.83645281396;251773.4900408248;252067.1398753262;252002.10517295243
Nacelle weight [N];20923.855139310213;21317.067358649874;21642.741093213208;21574.021795767203;22366.617271479572;22874.26833762779;22943.646359250495;23572.075189979914;24199.831445092394;20806.127037057824;21164.34342200587;21475.312887165313;21449.74899084729;22190.56408081119;22678.463086770375;22776.63482007383;23384.045344876566;23989.902330392306;20730.059153954604;21044.836350773316;21313.805092174644;21376.954132742034;21740.084887152152;22578.930212904783;22607.871296004352;23213.980429756844;23816.832410499144;23348.25165826884;23706.25708566595;24019.84738918652;23998.316821119468;24362.5312291763;25144.40998864556;25281.4180593573;25864.659777712564;26439.803964250204;22971.803443327786;23610.707008317197;23885.392056201006;23901.12781855999;24259.714653976203;24609.36325579008;24737.95253765889;25709.189170137743;26269.919789491323;22971.803443327786;23532.171741308382;23806.67070745696;23835.111777044538;24172.98983921797;24518.92399915542;24566.254499163475;25479.909101836874;26027.753403976603;25622.39614832714;26216.6373009831;26497.79342998702;26491.556983510254;26850.135299788177;27197.669153999814;27364.61437037755;28281.03423153372;28822.261638868196;25622.39614832714;26134.436168821892;26415.14091288298;26424.96924431884;26763.49975569302;27108.886715976896;27253.14672986828;28152.570403649952;28690.772184092442;25622.39614832714;26049.08033123522;26329.577457122097;26384.852428422473;26700.253853362083;27005.59258364997;27081.753541101763;27452.06036109922;28374.822771440588
Propulsion system weight [N];126092.21939819014;126144.5720152224;126190.80875439964;126113.5997790794;126179.3124152915;126231.93362639622;126157.32121831801;126217.94637147071;126274.64234753372;126088.30252492202;126139.42601222881;126185.10293365699;126109.54544850695;126173.55911240928;126225.49153727708;126152.08121327544;126212.00497172613;126267.98028095771;126085.76413327032;126135.38261077055;126179.57180281547;126107.16354629614;126158.70317552863;126222.20318453963;126146.76110625094;126206.60477331621;126262.4597729531;126058.52343310426;126105.46600508619;126147.49806262528;126077.31275311766;126124.6896317063;126180.62386072562;126113.46030015824;126167.47191535714;126217.62444263471;126047.48850219144;126102.63876804792;126143.47138618818;126074.52460498604;126121.70007051148;126164.98433823233;126098.29722455448;126163.11920791418;126212.83925270017;126047.48850219144;126100.30947893954;126141.1070844956;126072.62658419712;126119.17207316073;126162.31929635673;126093.46225453963;126156.66910608998;126205.98362143093;126027.54279161242;126077.27148172549;126115.43926031704;126049.96403342584;126093.78575576896;126133.89824056636;126072.01418605247;126130.18680913992;126175.6014350797;126027.54279161242;126075.1099075432;126113.23875781811;126048.2631995071;126091.54218970958;126131.57364779423;126069.2243831272;126126.9678274298;126172.28310893044;126027.54279161242;126072.86074903033;126110.95609604842;126047.23717416836;126089.90138750555;126128.86293726726;126064.92040716582;126109.24660505679;126164.2695570048
Fixed equipment weight [N];267779.9165406469;270866.8078696513;273410.54656396643;272930.3689444162;279081.1980143438;282987.4745601465;283573.6079648455;288372.08482201264;293129.9508031127;266756.79395950236;269573.4912497663;272007.012215546;271853.7645275198;277612.253059339;281374.10647811147;282173.4172600527;286819.62469485897;291420.3703189849;266072.8836082523;268550.8038073628;270659.21539154963;271191.4547067547;274023.2710659777;280512.2940607541;280772.21685944364;285416.5699869262;290002.199140463;265652.96849854;268150.31553858647;270328.41105285496;270234.2413618155;272754.39278502367;278127.1531790596;279116.97726526164;283087.6852713699;286978.37162431434;262920.00310240965;267389.2234043798;269299.25222417386;269454.4902903874;271937.8825048791;274348.8312143534;275277.11560690124;281913.1526415151;285711.55611833866;262837.07938351267;266757.8014129653;268667.9002570645;268903.50643741235;271244.96303044923;273632.1112822542;273994.4035031536;280249.3303645608;283968.7951302784;263014.1998942025;266744.84426661266;268500.86152880563;268516.7431992624;270748.7141313571;272903.40000324737;273988.03743438696;279622.1624312284;282924.7251800786;262920.00310240965;266135.07745105884;267889.36629202054;267996.4742414422;270104.72075413965;272247.3996291833;273183.7859252873;278718.24502924405;282005.36680126813;262837.07938351267;265516.7785072663;267271.00221243664;267653.9322701021;269618.6638444356;271514.04546764295;272022.02888582996;274310.50320409855;279974.0546057362
